Sender-KntNr,Empfaenger-KntNr,Verwendungszweck,Betrag,Buchungsdatum
AT37 4165 0290 7991 9354,AT00 3837 1294 3259 1959,Neueinrichtung,53.73,08.01.2018
AT81 1104 3648 6492 1249,AT99 3877 4273 7047 3592,Leben,611.95,12.08.2017
AT21 3259 6395 4314 9840,AT47 9309 4409 4792 4785,Schulden,67.01,14.05.2018
AT67 5686 4643 8701 0396,AT34 2568 3484 0062 8014,Warenhandel,629.05,19.07.2017
AT95 5079 3033 2191 2643,AT85 7494 8192 8332 9402,Warenhandel,981.97,01.11.2018
AT77 0689 8601 7267 2419,AT11 9371 9162 5540 3652,Neueinrichtung,351.28,23.01.2018
AT58 0042 4020 9493 7961,AT37 2200 1453 3654 4508,Aktien,92.31,07.07.2017
AT60 2383 6562 9293 9096,AT23 3627 5889 5495 9166,Warenhandel,530.97,01.09.2017
AT46 4038 8451 6269 6532,AT73 2816 5898 3126 3532,,759.95,26.01.2017
AT77 5714 5121 8373 3333,AT94 6088 9228 6351 2124,Neueinrichtung,142.72,08.10.2018
AT23 3627 5889 5495 9166,AT37 4165 0290 7991 9354,Spende,686.26,26.11.2017
AT33 9460 1594 8170 4365,AT77 5714 5121 8373 3333,Schulden,235.74,23.12.2018
AT34 9862 5121 9751 5569,AT11 9371 9162 5540 3652,Neueinrichtung,578.29,17.01.2017
AT17 4463 0026 7361 8389,AT48 4644 0976 8993 2171,Spende,554.72,22.04.2017
AT85 9841 6026 7949 4737,AT81 1104 3648 6492 1249,,363.53,27.05.2018
AT00 3837 1294 3259 1959,AT78 4116 4634 9458 1407,,270.48,23.11.2017
AT81 8069 2275 3090 5366,AT82 8137 7112 6694 2806,Aktien,858.88,11.10.2018
AT95 5079 3033 2191 2643,AT71 7270 8831 6056 9024,Auto,692.89,22.04.2017
AT77 5714 5121 8373 3333,AT34 1779 1973 2337 2860,Aktien,343.39,05.10.2018
AT82 8137 7112 6694 2806,AT21 3259 6395 4314 9840,Auto,863.99,26.02.2017
AT36 6263 5656 5947 3628,AT37 2200 1453 3654 4508,Warenhandel,257.05,22.05.2017
AT73 0351 6823 5615 7175,AT82 8137 7112 6694 2806,,629.24,02.06.2017
AT27 4281 9942 0389 1927,AT34 9862 5121 9751 5569,Schulden,357.83,20.04.2018
AT78 4116 4634 9458 1407,AT08 8242 4149 1806 1191,Auto,33.02,04.04.2017
AT50 5914 7535 5076 3985,AT36 6263 5656 5947 3628,Aktien,70.85,23.03.2017
AT81 1104 3648 6492 1249,AT50 5914 7535 5076 3985,Neueinrichtung,284.27,14.06.2018
AT50 5914 7535 5076 3985,AT81 1104 3648 6492 1249,Neueinrichtung,375.83,15.10.2018
AT47 9309 4409 4792 4785,AT83 2055 0343 5031 5242,Spende,767.99,18.02.2017
AT10 0760 7731 4855 1789,AT71 8337 5842 2084 3742,Neueinrichtung,479.69,19.01.2018
AT73 4879 0209 4159 7619,AT34 1779 1973 2337 2860,,780.12,14.01.2017
AT81 8069 2275 3090 5366,AT34 9862 5121 9751 5569,Spende,236.35,06.06.2018
AT71 8337 5842 2084 3742,AT37 4165 0290 7991 9354,Auto,45.78,09.06.2017
AT78 4116 4634 9458 1407,AT65 9915 4585 9244 5764,Aktien,924.53,27.05.2017
AT61 7283 8477 5641 3823,AT23 3627 5889 5495 9166,,187.61,08.02.2018
AT57 6282 2830 8723 9867,AT82 8137 7112 6694 2806,Aktien,111.26,26.04.2018
AT73 7449 0172 9499 3958,AT34 9862 5121 9751 5569,Spende,666.26,21.06.2017
AT00 3837 1294 3259 1959,AT78 4116 4634 9458 1407,Aktien,589.50,22.08.2018
AT77 0689 8601 7267 2419,AT99 3877 4273 7047 3592,Warenhandel,502.30,28.10.2017
AT09 1239 5645 2894 7413,AT83 2055 0343 5031 5242,Warenhandel,365.86,06.07.2017
AT23 3627 5889 5495 9166,AT25 2252 4773 6239 8605,Leben,756.73,10.06.2018
AT78 4116 4634 9458 1407,AT55 8940 9044 2599 2567,Schulden,706.67,09.03.2017
AT96 2315 8547 9857 4362,AT55 8940 9044 2599 2567,Leben,459.23,28.02.2018
AT80 3954 6633 3875 0597,AT50 5914 7535 5076 3985,Aktien,784.16,27.12.2018
AT83 4593 9652 1831 9309,AT11 8048 7611 7051 3113,,617.38,28.07.2018
AT83 2055 0343 5031 5242,AT99 3877 4273 7047 3592,Neueinrichtung,470.59,12.11.2018
AT00 3837 1294 3259 1959,AT11 8048 7611 7051 3113,Warenhandel,187.67,03.01.2017
AT99 3877 4273 7047 3592,AT78 4116 4634 9458 1407,Auto,227.40,01.08.2017
AT34 2568 3484 0062 8014,AT78 4116 4634 9458 1407,Warenhandel,643.80,20.12.2018
AT80 0414 2633 0638 0714,AT30 9896 8538 8240 1931,Schulden,556.27,17.03.2017
AT27 4281 9942 0389 1927,AT23 3627 5889 5495 9166,Aktien,212.97,04.02.2018
AT34 1779 1973 2337 2860,AT48 4644 0976 8993 2171,Spende,205.41,05.09.2017
AT23 3627 5889 5495 9166,AT34 9862 5121 9751 5569,Schulden,137.26,10.03.2017
AT78 6280 7841 3225 0685,AT56 8206 6127 2233 7903,Leben,531.01,14.06.2017
AT99 3877 4273 7047 3592,AT83 4593 9652 1831 9309,Leben,916.75,10.09.2018
AT78 6280 7841 3225 0685,AT73 7449 0172 9499 3958,Spende,844.70,08.02.2018
AT33 9460 1594 8170 4365,AT60 2383 6562 9293 9096,Warenhandel,882.82,03.04.2017
AT50 5914 7535 5076 3985,AT25 2252 4773 6239 8605,Aktien,119.61,06.01.2017
AT00 3837 1294 3259 1959,AT34 1779 1973 2337 2860,Schulden,503.04,22.08.2017
AT83 4593 9652 1831 9309,AT55 8940 9044 2599 2567,Spende,953.01,23.08.2018
AT38 1771 0448 8518 9824,AT57 0089 3636 6067 8915,Spende,6.47,06.01.2018
AT49 7869 6462 7722 2559,AT85 7494 8192 8332 9402,Neueinrichtung,940.93,06.01.2017
AT45 2213 9912 6657 0320,AT08 8242 4149 1806 1191,Auto,371.07,18.10.2017
AT32 3293 7887 1273 6568,AT55 8940 9044 2599 2567,Neueinrichtung,316.34,06.05.2018
AT94 6088 9228 6351 2124,AT95 5079 3033 2191 2643,Leben,412.65,02.07.2018
AT71 8337 5842 2084 3742,AT52 4761 1464 4792 5682,Neueinrichtung,673.70,26.06.2017
AT85 7494 8192 8332 9402,AT55 8940 9044 2599 2567,Warenhandel,868.32,22.04.2018
AT83 4593 9652 1831 9309,AT49 7869 6462 7722 2559,Schulden,912.59,04.10.2017
AT11 9371 9162 5540 3652,AT60 2383 6562 9293 9096,Neueinrichtung,840.39,19.04.2018
AT21 3259 6395 4314 9840,AT77 5714 5121 8373 3333,Spende,666.18,19.06.2017
AT45 2213 9912 6657 0320,AT50 5914 7535 5076 3985,Leben,538.74,11.05.2017
AT96 2315 8547 9857 4362,AT27 4281 9942 0389 1927,Warenhandel,409.18,13.08.2017
AT55 8940 9044 2599 2567,AT83 4593 9652 1831 9309,Auto,494.00,05.11.2018
AT73 2816 5898 3126 3532,AT87 6023 4362 1392 0577,Leben,436.45,20.04.2018
AT23 3627 5889 5495 9166,AT57 0089 3636 6067 8915,,689.09,26.09.2017
AT55 8940 9044 2599 2567,AT81 1104 3648 6492 1249,Auto,190.59,16.08.2018
AT73 0351 6823 5615 7175,AT73 2816 5898 3126 3532,Leben,497.07,15.07.2018
AT21 3259 6395 4314 9840,AT96 2315 8547 9857 4362,Spende,368.90,01.01.2017
AT73 7449 0172 9499 3958,AT99 3877 4273 7047 3592,Neueinrichtung,991.13,14.12.2018
AT71 7270 8831 6056 9024,AT56 8206 6127 2233 7903,Neueinrichtung,403.76,15.08.2018
AT78 4116 4634 9458 1407,AT60 2383 6562 9293 9096,Neueinrichtung,891.86,06.01.2017
AT33 9460 1594 8170 4365,AT00 3837 1294 3259 1959,Neueinrichtung,668.55,04.05.2018
AT73 4879 0209 4159 7619,AT87 6023 4362 1392 0577,Spende,52.07,27.12.2018
AT37 2200 1453 3654 4508,AT99 3877 4273 7047 3592,Neueinrichtung,926.12,09.09.2018
AT10 0760 7731 4855 1789,AT55 8940 9044 2599 2567,Leben,242.89,18.09.2018
AT78 4116 4634 9458 1407,AT34 9862 5121 9751 5569,Aktien,863.85,26.12.2018
AT80 0414 2633 0638 0714,AT94 6088 9228 6351 2124,Spende,852.05,10.09.2017
AT67 5686 4643 8701 0396,AT71 7270 8831 6056 9024,,499.61,06.02.2018
AT57 6282 2830 8723 9867,AT83 4593 9652 1831 9309,Leben,548.17,02.03.2017
AT85 7494 8192 8332 9402,AT34 9862 5121 9751 5569,Schulden,100.26,23.10.2018
AT73 0351 6823 5615 7175,AT99 3877 4273 7047 3592,,19.83,06.03.2017
AT00 3837 1294 3259 1959,AT95 5079 3033 2191 2643,Warenhandel,660.52,01.09.2017
AT78 4116 4634 9458 1407,AT99 3877 4273 7047 3592,Warenhandel,920.92,18.10.2017
AT71 7270 8831 6056 9024,AT37 2200 1453 3654 4508,Warenhandel,560.81,23.05.2018
AT36 6263 5656 5947 3628,AT65 9915 4585 9244 5764,Spende,306.03,08.09.2018
AT81 8069 2275 3090 5366,AT08 8242 4149 1806 1191,,56.75,16.04.2018
AT71 8337 5842 2084 3742,AT08 8242 4149 1806 1191,Warenhandel,292.62,15.06.2017
AT77 0689 8601 7267 2419,AT73 7449 0172 9499 3958,Neueinrichtung,878.88,12.05.2017
AT81 1104 3648 6492 1249,AT27 4281 9942 0389 1927,,12.63,05.06.2017
AT71 8337 5842 2084 3742,AT47 9309 4409 4792 4785,Neueinrichtung,516.77,18.09.2017
AT25 2252 4773 6239 8605,AT00 3837 1294 3259 1959,Schulden,294.36,21.10.2017
AT60 2383 6562 9293 9096,AT34 9862 5121 9751 5569,Leben,272.34,22.05.2017
AT71 8337 5842 2084 3742,AT09 1239 5645 2894 7413,Schulden,208.46,25.03.2017
AT34 1779 1973 2337 2860,AT47 9309 4409 4792 4785,Aktien,939.36,23.01.2018
AT73 0351 6823 5615 7175,AT21 3259 6395 4314 9840,Leben,377.84,22.11.2017
AT89 1722 5241 3201 1443,AT82 8137 7112 6694 2806,Auto,559.24,22.06.2018
AT85 9841 6026 7949 4737,AT56 8206 6127 2233 7903,Warenhandel,846.35,25.11.2017
AT10 0760 7731 4855 1789,AT52 4761 1464 4792 5682,Aktien,164.52,05.10.2017
AT99 3877 4273 7047 3592,AT85 7494 8192 8332 9402,Aktien,719.09,07.05.2017
AT33 9460 1594 8170 4365,AT36 6263 5656 5947 3628,Spende,785.03,07.05.2017
